Date,Open,High,Low,Close,Adj Close,Volume,Days 
2022-11-25,1862.920044,1873.589966,1861,1869.189941,1869.189941,1706460000,198
2022-11-28,1857.180054,1857.52002,1827.079956,1830.959961,1830.959961,3615430000,199
2022-11-29,1832.52002,1846.069946,1832.52002,1836.550049,1836.550049,3546040000,200
2022-11-30,1839.130005,1886.579956,1821.469971,1886.579956,1886.579956,6579360000,201
2022-12-01,1891.97998,1898.27002,1876.930054,1881.680054,1881.680054,4527130000,202
2022-12-02,1863.939941,1898.449951,1856.47998,1892.839966,1892.839966,4012620000,203
2022-12-05,1886.01001,1886.01001,1834.420044,1840.219971,1840.219971,4280820000,204
2022-12-06,1839.540039,1839.540039,1802.949951,1812.579956,1812.579956,4368380000,205
2022-12-07,1809.170044,1822.699951,1805.660034,1806.900024,1806.900024,4118050000,206
2022-12-08,1815.709961,1833.75,1808.849976,1818.290039,1818.290039,4006900000,207
2022-12-09,1812.150024,1815.810059,1796.660034,1796.660034,1796.660034,3888260000,208
2022-12-12,1798.790039,1820.5,1793.109985,1818.609985,1818.609985,3904130000,209
2022-12-13,1851.829956,1880.76001,1823,1832.359985,1832.359985,5079360000,210
2022-12-14,1831.22998,1845.77002,1812.300049,1820.449951,1820.449951,4472340000,211
2022-12-15,1806.73999,1806.73999,1770.560059,1774.609985,1774.609985,4493900000,212
2022-12-16,1759.550049,1765.640015,1746.25,1763.420044,1763.420044,7493660000,213
2022-12-19,1763.939941,1765.540039,1733.819946,1738.579956,1738.579956,3969610000,214
2022-12-20,1735.469971,1755.079956,1733.209961,1748.02002,1748.02002,3985370000,215
2022-12-21,1757.689941,1784.109985,1757.689941,1776.939941,1776.939941,3775200000,216
2022-12-22,1766.670044,1766.670044,1726.810059,1754.089966,1754.089966,3956950000,217
2022-12-23,1753.199951,1761.23999,1743.73999,1760.930054,1760.930054,2819280000,218
2022-12-27,1761.380005,1761.650024,1745.439941,1749.52002,1749.52002,3030300000,219
2022-12-28,1749.930054,1753.930054,1722.02002,1722.02002,1722.02002,3083520000,220
2022-12-29,1727.329956,1767.910034,1727.329956,1766.25,1766.25,3003680000,221
2022-12-30,1759.26001,1763.930054,1747.22998,1761.25,1761.25,2979870000,222
2023-01-03,1769.75,1785.949951,1737.26001,1750.72998,1750.72998,3959140000,223
2023-01-04,1758.089966,1781.969971,1758.089966,1772.540039,1772.540039,4414080000,224
2023-01-05,1766.079956,1766.079956,1745.380005,1753.189941,1753.189941,3893450000,225
2023-01-06,1764.329956,1795.560059,1758.5,1792.800049,1792.800049,3923560000,226
2023-01-09,1801.069946,1817.089966,1794.540039,1795.910034,1795.910034,4311770000,227
2023-01-10,1794.290039,1822.650024,1793.189941,1822.650024,1822.650024,3851030000,228
2023-01-11,1827.119995,1844.160034,1826.52002,1844.050049,1844.050049,4303360000,229
2023-01-12,1850.25,1876.060059,1839.089966,1876.060059,1876.060059,4440260000,230
2023-01-13,1867.5,1889.150024,1861.73999,1887.030029,1887.030029,3939700000,231
2023-01-17,1886.640015,1892.420044,1880.73999,1884.290039,1884.290039,4235560000,232
2023-01-18,1890.089966,1903.869995,1854.319946,1854.359985,1854.359985,4298710000,233
2023-01-19,1846.349976,1846.349976,1825.579956,1836.349976,1836.349976,3991500000,234
2023-01-20,1847.680054,1867.339966,1836.630005,1867.339966,1867.339966,4013360000,235
2023-01-23,1868.959961,1896.199951,1867.48999,1890.77002,1890.77002,3945210000,236
2023-01-24,1887.810059,1892.709961,1878.329956,1885.609985,1885.609985,3320430000,237
2023-01-25,1873.619995,1890.72998,1858.98999,1890.319946,1890.319946,3724020000,238
2023-01-26,1899.880005,1909.420044,1882.709961,1903.060059,1903.060059,3809590000,239
2023-01-27,1899.819946,1918.589966,1896.23999,1911.459961,1911.459961,3907760000,240
2023-01-30,1903.099976,1909.339966,1885.430054,1885.719971,1885.719971,3802000000,241
2023-01-31,1888.829956,1931.949951,1888.829956,1931.939941,1931.939941,4679320000,242
2023-02-01,1929.469971,1976.869995,1921.52002,1960.810059,1960.810059,4856930000,243
2023-02-02,1968.030029,2007.310059,1968.030029,2001.219971,2001.219971,5624360000,244
2023-02-03,1989.119995,2005.550049,1976.060059,1985.530029,1985.530029,4694510000,245
2023-02-06,1976.089966,1976.089966,1952.189941,1957.719971,1957.719971,4114240000,246
2023-02-07,1952.650024,1975.829956,1936.329956,1972.609985,1972.609985,4355860000,247
2023-02-08,1964.890015,1968.920044,1940.290039,1942.599976,1942.599976,4029820000,248
2023-02-09,1954.880005,1963.849976,1912.23999,1915.339966,1915.339966,4270200000,249
2023-02-10,1910.657349,1916.131104,1903.718994,1910.562256,1910.562256,0,250
